"Date","Price","Open","High","Low","Vol.","Change %"
"06/06/2024","71,200.3","71,083.6","71,237.8","70,910.1","60.10K","0.16%"
"06/05/2024","71,083.7","70,550.9","71,744.4","70,397.1","67.06K","0.76%"
"06/04/2024","70,549.2","68,808.0","71,034.2","68,564.3","75.69K","2.53%"
"06/03/2024","68,807.8","67,763.3","70,131.0","67,616.8","69.42K","1.53%"
"06/02/2024","67,773.5","67,760.8","68,447.5","67,330.6","30.63K","0.02%"
"06/01/2024","67,760.8","67,533.9","67,861.0","67,449.6","19.01K","0.34%"
"05/31/2024","67,530.1","68,352.3","69,018.2","66,676.8","61.51K","-1.21%"
"05/30/2024","68,354.7","67,631.3","69,504.7","67,138.4","66.84K","1.06%"
"05/29/2024","67,635.8","68,366.2","68,897.6","67,143.2","52.13K","-1.07%"
"05/28/2024","68,366.0","69,428.3","69,560.7","67,299.9","71.39K","-1.53%"
"05/27/2024","69,428.7","68,514.6","70,638.3","68,275.2","49.07K","1.33%"
"05/26/2024","68,514.8","69,287.2","69,494.0","68,294.5","24.58K","-1.11%"
"05/25/2024","69,284.4","68,548.2","69,558.8","68,516.1","25.17K","1.07%"
"05/24/2024","68,547.6","67,971.1","69,212.0","66,685.8","63.28K","0.84%"
"05/23/2024","67,975.7","69,166.3","70,041.0","66,578.1","89.45K","-1.71%"
"05/22/2024","69,155.4","70,141.0","70,593.4","69,024.3","65.08K","-1.40%"
"05/21/2024","70,139.9","71,430.5","71,872.0","69,181.7","108.56K","-1.80%"
"05/20/2024","71,422.7","66,278.3","71,482.8","66,076.5","112.66K","7.76%"
"05/19/2024","66,279.1","66,919.0","67,662.5","65,937.3","36.19K","-0.95%"
"05/18/2024","66,917.5","67,036.6","67,361.4","66,636.1","29.68K","-0.18%"
"05/17/2024","67,036.8","65,231.1","67,420.7","65,121.7","63.09K","2.77%"
"05/16/2024","65,231.0","66,219.6","66,643.9","64,623.3","72.55K","-1.50%"
"05/15/2024","66,225.1","61,569.4","66,417.1","61,357.5","106.05K","7.56%"
"05/14/2024","61,569.4","62,936.8","63,102.6","61,156.9","68.84K","-2.17%"
"05/13/2024","62,937.2","61,480.5","63,443.2","60,779.0","70.55K","2.37%"
"05/12/2024","61,480.0","60,826.6","61,847.7","60,647.1","27.40K","1.07%"
"05/11/2024","60,826.6","60,796.8","61,487.5","60,499.3","27.50K","0.05%"
"05/10/2024","60,796.9","63,074.3","63,454.3","60,251.8","79.33K","-3.61%"
"05/09/2024","63,075.0","61,207.3","63,413.3","60,671.4","64.22K","3.05%"
"05/08/2024","61,207.5","62,304.9","62,997.4","60,894.2","56.47K","-1.78%"
"05/07/2024","62,317.7","63,163.1","64,361.0","62,294.1","59.74K","-1.34%"
"05/06/2024","63,163.1","64,005.8","65,448.8","62,730.7","77.68K","-1.32%"
